Región Salud PTRRMR,Municipio,NOMBRE DEL PRESTADOR - ESE REPS,NOMBRE DE LA SEDE - REPS,NOMBRE DE LA SEDE EN EL PTRRMR,TIPOLOGÍA LINEAMIENTO CIR. 041,Tipo_zona,Caracter,Observaciones
Centro,Anolaima,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,PUESTO DE SALUD LA FLORIDA,PUESTO DE SALUD LA FLORIDA,PUESTO DE SALUD,Urbana,Departamental,
Centro,Anolaima,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,PUESTO DE SALUD REVENTONES,*,PUESTO DE SALUD,Urbana,Departamental,
Centro,Quipile,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,CENTRO DE SALUD QUIPILE,CENTRO DE SALUD QUIPILE,CENTRO DE SALUD,Urbana,Departamental,
Centro,Quipile,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,PUESTO DE SALUD LA SIERRA,PUESTO DE SALUD LA SIERRA,PUESTO DE SALUD,Rural,Departamental,
Centro,Quipile,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,PUESTO DE SALUD SANTA MARTHA,PUESTO DE SALUD SANTA MARTHA,PUESTO DE SALUD,Rural,Departamental,
Centro,Quipile,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,,,,,,
Centro,Anapoima,E.S.E. HOSPITAL PEDRO LEON ALVAREZ DIAZ,PUESTO DE SALUD LA PAZ - (250350004312),PUESTO DE SALUD LA PAZ - (250350004312),PUESTO DE SALUD,Rural,Departamental,
Centro,Tena,E.S.E. HOSPITAL PEDRO LEON ALVAREZ DIAZ,PUESTO DE SALUD TENA,PUESTO DE SALUD TENA,PUESTO DE SALUD,Urbana,Departamental,
Centro,Tena,E.S.E. HOSPITAL PEDRO LEON ALVAREZ DIAZ,PUESTO DE SALUD LA GRAN VIA - (257970004310),PUESTO DE SALUD LA GRAN VIA,PUESTO DE SALUD,Urbana,Departamental,
Centro,El Colegio,ESE HOSPITAL NUESTRA SEÑORA DEL CARMEN DE EL COLEGIO,ESE HOSPITAL NUESTRA SEÑORA DEL CARMEN DE EL COLEGIO,ESE HOSPITAL NUESTRA SEÑORA DEL CARMEN DE EL COLEGIO,HOSPITAL PRIMARIO II,Urbana,Departamental,
Centro,El Colegio,ESE HOSPITAL NUESTRA SEÑORA DEL CARMEN DE EL COLEGIO,PUESTO DE SALUD LA VICTORIA,PUESTO DE SALUD LA VICTORIA,PUESTO DE SALUD,Urbana,Departamental,
Centro,El Colegio,ESE HOSPITAL NUESTRA SEÑORA DEL CARMEN DE EL COLEGIO,PUESTO DE SALUD PRADILLA,PUESTO DE SALUD PRADILLA,PUESTO DE SALUD,Urbana,Departamental,
Centro,El Colegio,ESE HOSPITAL NUESTRA SEÑORA DEL CARMEN DE EL COLEGIO,PUESTO DE SALUD EL TRIUNFO,PUESTO DE SALUD EL TRIUNFO,PUESTO DE SALUD,Urbana,Departamental,
Centro,Anolaima,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,HOSPITAL PRIMARIO I,Urbana,Departamental,
Centro,Anolaima,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,PUESTO DE SALUD LA FLORIDA,PUESTO DE SALUD LA FLORIDA,PUESTO DE SALUD,Urbana,Departamental,
Centro,Anolaima,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,PUESTO DE SALUD REVENTONES,*,PUESTO DE SALUD,Urbana,Departamental,
Centro,Quipile,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,CENTRO DE SALUD QUIPILE,CENTRO DE SALUD QUIPILE,CENTRO DE SALUD,Urbana,Departamental,
Centro,Quipile,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,PUESTO DE SALUD LA SIERRA,PUESTO DE SALUD LA SIERRA,PUESTO DE SALUD,Rural,Departamental,
Centro,Quipile,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,PUESTO DE SALUD SANTA MARTHA,PUESTO DE SALUD SANTA MARTHA,PUESTO DE SALUD,Rural,Departamental,
Centro,Quipile,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,PUESTO DE SALUD LA VIRGEN,PUESTO DE SALUD LA VIRGEN,PUESTO DE SALUD,Rural,Departamental,
Centro,Quipile,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,PUESTO DE SALUD LA BOTICA,PUESTO DE SALUD LA BOTICA,PUESTO DE SALUD,Rural,Departamental,
Centro,San Antonio Del Tequendama,E.S.E. HOSPITAL SAN ANTONIO DEL TEQUENDAMA,E.S.E. HOSPITAL SAN ANTONIO DEL TEQUENDAMA,E.S.E. HOSPITAL SAN ANTONIO DEL TEQUENDAMA,HOSPITAL PRIMARIO I,Urbana,Municipal,
Centro,San Antonio Del Tequendama,E.S.E. HOSPITAL SAN ANTONIO DEL TEQUENDAMA,PUESTO DE SALUD DE SANTANDERCITO,PUESTO DE SALUD DE SANTANDERCITO,PUESTO DE SALUD,Rural,Municipal,
Centro Oriente Almeidas,Chocontá,E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS,HOSPITAL SAN MARTIN DE PORRES DE CHOCONTA- E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS,HOSPITAL SAN MARTIN DE PORRES DE CHOCONTA- E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS,HOSPITAL PRIMARIO II,Urbana,Departamental,
Centro Oriente Almeidas,Chocontá,E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS,SEDE-E.S.E. CENTRO ORIENTE ALMEIDAS,*,CENTRO DE SALUD,Urbana,Departamental,
Centro Oriente Almeidas,Villapinzón,E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS,PUESTO DE SALUD DE VILLAPINZON-E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS,PUESTO DE SALUD DE VILLAPINZON-E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS,CENTRO DE SALUD,Urbana,Departamental,
Centro Oriente Almeidas,Tibirita,E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS,PUESTO DE SALUD DE TIBIRITA-E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS,PUESTO DE SALUD DE TIBIRITA-E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS,PUESTO DE SALUD,Urbana,Departamental,
Centro Oriente Almeidas,Macheta,E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS,PUESTO DE SALUD DE MACHETA-E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS,PUESTO DE SALUD DE MACHETA-E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS,PUESTO DE SALUD,Urbana,Departamental,
Centro Oriente Almeidas,Manta,E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS,PUESTO DE SALUD DE MANTA-E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS,PUESTO DE SALUD DE MANTA-E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS,PUESTO DE SALUD,Urbana,Departamental,
Centro Oriente Almeidas,Suesca,E.S.E. HOSPITAL NUESTRA SEÑORA DEL ROSARIO SUESCA,E.S.E. HOSPITAL NUESTRA SENORA DEL ROSARIO SUESCA - (257720037801),E.S.E. HOSPITAL NUESTRA SENORA DEL ROSARIO SUESCA,HOSPITAL PRIMARIO I,Urbana,Municipal,
Centro Oriente Guavio,Sopó,E.S.E. HOSPITAL DIVINO SALVADOR DE SOPO,E.S.E. HOSPITAL DIVINO SALVADOR DE SOPO,E.S.E. HOSPITAL DIVINO SALVADOR DE SOPO,HOSPITAL COMPLEMENTARIO I (REGIONAL),Urbana,Departamental,
Centro Oriente Guavio,Sopó,E.S.E. HOSPITAL DIVINO SALVADOR DE SOPO,SEDE UNIDAD DE ATENCIÓN DE SALUD MENTAL,*,UNIDAD DE SALUD MENTAL,Urbana,Departamental,
Centro Oriente Guavio,La Calera,E.S.E. HOSPITAL DIVINO SALVADOR DE SOPO,CENTRO DE SALUD DE LA CALERA - (253770005102),CENTRO DE SALUD DE LA CALERA,HOSPITAL PRIMARIO I,Urbana,Departamental,
Centro Oriente Guavio,La Calera,E.S.E. HOSPITAL DIVINO SALVADOR DE SOPO,PUESTO DE SALUD EL MANZANO,*,PUESTO DE SALUD,Urbana,Departamental,
Centro Oriente Guavio,Tocancipá,CARE & HEALTH S.A.S,HOSPITAL NUESTRA SEÑORA DEL TRANSITO DEL MUNICIPIO DE TOCANCIPÁ,HOSPITAL NUESTRA SEÑORA DEL TRANSITO DE TOCANCIPÁ,HOSPITAL PRIMARIO II,Urbana,Operador privado,INFRAESTRUCTURA PÚBLICA OPERADA POR PRIVADO
Centro Oriente Guavio,Gachetá,E.S.E. HOSPITAL SAN FRANCISCO DE GACHETA,E.S.E. HOSPITAL SAN FRANCISCO DE GACHETA,E.S.E. HOSPITAL SAN FRANCISCO DE GACHETA,HOSPITAL PRIMARIO II,Urbana,Departamental,
Centro Oriente Guavio,Gachala,E.S.E. HOSPITAL SAN FRANCISCO DE GACHETA,CENTRO DE SALUD GACHALA,CENTRO DE SALUD GACHALA,CENTRO DE SALUD,Urbana,Departamental,
Centro Oriente Guavio,Gama,E.S.E. HOSPITAL SAN FRANCISCO DE GACHETA,CENTRO DE SALUD GAMA,CENTRO DE SALUD GAMA,CENTRO DE SALUD,Urbana,Departamental,
Centro Oriente Guavio,Ubalá,E.S.E. HOSPITAL SAN FRANCISCO DE GACHETA,CENTRO DE SALUD UBALA,CENTRO DE SALUD UBALA,CENTRO DE SALUD,Urbana,Departamental,
Centro Oriente Guavio,Ubalá,E.S.E. HOSPITAL SAN FRANCISCO DE GACHETA,PUESTO DE SALUD MAMBITA - (258390003505),PUESTO DE SALUD MAMBITA,PUESTO DE SALUD,Urbana,Departamental,
Centro Oriente Guavio,Guatavita,E.S.E. HOSPITAL SAN ANTONIO DE GUATAVITA,E.S.E HOSPITAL SAN ANTONIO DE GUATAVITA,E.S.E HOSPITAL SAN ANTONIO DE GUATAVITA,HOSPITAL PRIMARIO I,Urbana,Departamental,
Centro Oriente Guavio,Guasca,E.S.E. HOSPITAL SAN ANTONIO DE GUATAVITA,CENTRO DE SALUD DE GUASCA,CENTRO DE SALUD DE GUASCA,CENTRO DE SALUD,Urbana,Departamental,
Centro Oriente Guavio,Junín,E.S.E POLICLINICO DE JUNIN,E.S.E. POLICLINICO DE JUNIN - (253720031401),E.S.E. POLICLINICO DE JUNIN,HOSPITAL PRIMARIO I,Urbana,Municipal,
Medina,Medina,E.S.E. REGION DE SALUD MEDINA,HOSPITAL NUESTRA SEÑORA DEL PILAR- E.S.E. REGION DE SALUD MEDINA,HOSPITAL NUESTRA SEÑORA DEL PILAR- E.S.E. REGION DE SALUD MEDINA,HOSPITAL PRIMARIO II,Urbana,Departamental,
Medina,Paratebueno,E.S.E. REGION DE SALUD MEDINA,CENTRO DE SALUD PARATEBUENO - E.S.E. REGION DE SALUD MEDINA,CENTRO DE SALUD PARATEBUENO - E.S.E. REGION DE SALUD MEDINA,HOSPITAL PRIMARIO I,Urbana,Departamental,
Medina,Paratebueno,E.S.E. REGION DE SALUD MEDINA,PUESTO DE SALUD MILAGROS DE MAYA- E.S.E. REGION DE SALUD MEDINA (255300004504),PUESTO DE SALUD MILAGROS DE MAYA- E.S.E. REGION DE SALUD MEDINA,PUESTO DE SALUD,Urbana,Departamental,
Medina,Ubalá,E.S.E. REGION DE SALUD MEDINA,PUESTO DE SALUD SAN PEDRO DE JAGUA- E.S.E. REGION DE SALUD MEDINA,PUESTO DE SALUD SAN PEDRO DE JAGUA- E.S.E. REGION DE SALUD MEDINA,PUESTO DE SALUD,Urbana,Departamental,
Noroccidente,Villeta,E.S.E. HOSPITAL SALAZAR VILLETA,E.S.E. HOSPITAL SALAZAR DE VILLETA,E.S.E. HOSPITAL SALAZAR DE VILLETA,HOSPITAL COMPLEMENTARIO I (REGIONAL),Urbana,Departamental,
Noroccidente,Villeta,E.S.E. HOSPITAL SALAZAR VILLETA,PUESTO DE SALUD BAGAZAL - (258750003202),PUESTO DE SALUD BAGAZAL,PUESTO DE SALUD,Rural,Departamental,
Noroccidente,Quebradanegra,E.S.E. HOSPITAL SALAZAR VILLETA,PUESTO DE SALUD QUEBRADANEGRA - (255920003204),PUESTO DE SALUD QUEBRADANEGRA,PUESTO DE SALUD,Urbana,Departamental,
Noroccidente,Quebradanegra,E.S.E. HOSPITAL SALAZAR VILLETA,PUESTO DE SALUD LA MAGDALENA - (255920003205),PUESTO DE SALUD LA MAGDALENA,PUESTO DE SALUD,Rural,Departamental,
Noroccidente,Quebradanegra,E.S.E. HOSPITAL SALAZAR VILLETA,PUESTO DE SALUD TOBIA,PUESTO DE SALUD TOBIA,PUESTO DE SALUD,Rural,Departamental,
Noroccidente,Útica,E.S.E. HOSPITAL SALAZAR VILLETA,CENTRO DE SALUD UTICA - (258510003207),CENTRO DE SALUD UTICA,CENTRO DE SALUD,Urbana,Departamental,
Noroccidente,La Peña,E.S.E. HOSPITAL SALAZAR VILLETA,CENTRO DE SALUD LA PEÑA - (253980003203),CENTRO DE SALUD LA PEÑA,CENTRO DE SALUD,Rural,Departamental,
Noroccidente,La Vega,E.S.E. HOSPITAL DE LA VEGA,E.S.E. HOSPITAL DE LA VEGA,E.S.E. HOSPITAL DE LA VEGA,HOSPITAL PRIMARIO II,Urbana,Departamental,
Noroccidente,Nocaima,E.S.E. HOSPITAL DE LA VEGA,PUESTO DE SALUD DE NOCAIMA,PUESTO DE SALUD DE NOCAIMA,PUESTO DE SALUD,Urbana,Departamental,
Noroccidente,Sasaima,E.S.E. HOSPITAL HILARIO LUGO DE SASAIMA,E.S.E. HOSPITAL HILARIO LUGO DE SASAIMA,E.S.E. HOSPITAL HILARIO LUGO DE SASAIMA,HOSPITAL PRIMARIO I,Urbana,Departamental,
Noroccidente,Vergara,E.S.E. HOSPITAL SANTA BARBARA DE VERGARA,E.S.E. HOSPITAL SANTA BARBARA DE VERGARA - (258620005401),E.S.E. HOSPITAL SANTA BARBARA DE VERGARA,HOSPITAL PRIMARIO I,Rural,Departamental,
Noroccidente,Nimaima,E.S.E. CENTRO DE SALUD SAN JOSE DE NIMAIMA,E.S.E. CENTRO DE SALUD SAN JOSE DE NIMAIMA - (254890027601),E.S.E. CENTRO DE SALUD SAN JOSE DE NIMAIMA,CENTRO DE SALUD,Urbana,Municipal,
Noroccidente,San Francisco,E.S.E. CENTRO DE SALUD SAN FRANCISCO DE SALES,E.S.E. CENTRO DE SALUD SAN FRANCISCO DE SALES,E.S.E. CENTRO DE SALUD SAN FRANCISCO DE SALES,HOSPITAL PRIMARIO I,Urbana,Municipal,
Nororiente,Villa De San Diego De Ubate,E.S.E. HOSPITAL EL SALVADOR DE UBATE,E.S.E. HOSPITAL EL SALVADOR DE UBATE,E.S.E. HOSPITAL EL SALVADOR DE UBATE,HOSPITAL COMPLEMENTARIO I (REGIONAL),Urbana,Departamental,
Nororiente,Simijaca,E.S.E. HOSPITAL EL SALVADOR DE UBATE,CENTRO DE SALUD DE SIMIJACA,CENTRO DE SALUD DE SIMIJACA,CENTRO DE SALUD,Urbana,Departamental,
Nororiente,Fúquene,E.S.E. HOSPITAL EL SALVADOR DE UBATE,CENTRO DE SALUD DE FUQUENE,CENTRO DE SALUD DE FUQUENE,CENTRO DE SALUD,Urbana,Departamental,
Nororiente,Fúquene,E.S.E. HOSPITAL EL SALVADOR DE UBATE,CENTRO DE SALUD CAPELLANIA,CENTRO DE SALUD CAPELLANIA,CENTRO DE SALUD,Urbana,Departamental,
Nororiente,Lenguazaque,E.S.E. HOSPITAL EL SALVADOR DE UBATE,CENTRO DE SALUD DE LENGUAZAQUE,CENTRO DE SALUD DE LENGUAZAQUE,CENTRO DE SALUD,Urbana,Departamental,
Nororiente,Susa,E.S.E. HOSPITAL EL SALVADOR DE UBATE,CENTRO DE SALUD DE SUSA,CENTRO DE SALUD DE SUSA,CENTRO DE SALUD,Urbana,Departamental,
Nororiente,Sutatausa,E.S.E. HOSPITAL EL SALVADOR DE UBATE,CENTRO DE SALUD DE SUTATUSA,CENTRO DE SALUD DE SUTATUSA,CENTRO DE SALUD,Urbana,Departamental,
Nororiente,Guachetá,ESE HOSPITAL SAN JOSE DE GUACHETA,ESE HOSPITAL SAN JOSE DE GUACHETA,ESE HOSPITAL SAN JOSE DE GUACHETA,HOSPITAL PRIMARIO I,Urbana,Departamental,
Nororiente,Carmen De Carupa,ESE HOSPITAL HABACUC CALDERON DE CARMEN DE CARUPA,ESE HOSPITAL HABACUC CALDERON DE CARMEN DE CARUPA,ESE HOSPITAL HABACUC CALDERON DE CARMEN DE CARUPA,HOSPITAL PRIMARIO I,Urbana,Departamental,
Nororiente,Cucunubá,E.S.E. CENTRO DE SALUD CUCUNUBA,E.S.E. CENTRO DE SALUD CUCUNUBA - (252240027701),E.S.E. CENTRO DE SALUD CUCUNUBA - (252240027701),CENTRO DE SALUD,Urbana,Municipal,
Nororiente,Tausa,E.S.E. E.S.E. CENTRO DE SALUD DE TAUSA,E.S.E. E.S.E. CENTRO DE SALUD DE TAUSA,E.S.E. E.S.E. CENTRO DE SALUD DE TAUSA,HOSPITAL PRIMARIO I,Urbana,Municipal,
Norte,Pacho,E.S.E. HOSPITAL SAN RAFAEL DE PACHO,E.S.E. HOSPITAL SAN RAFAEL DE PACHO - (255130002801),E.S.E. HOSPITAL SAN RAFAEL DE PACHO,HOSPITAL COMPLEMENTARIO I (REGIONAL),Urbana,Departamental,
Norte,Pacho,E.S.E. HOSPITAL SAN RAFAEL DE PACHO,Puesto de salud Pasuncha,PUESTO DE SALUD DE PASUNCHA,PUESTO DE SALUD,Urbana,Departamental,
Norte,Paime,E.S.E. HOSPITAL SAN RAFAEL DE PACHO,PUESTO DE SALUD DE PAIME - (255180002803),PUESTO DE SALUD DE PAIME,PUESTO DE SALUD,Urbana,Departamental,
Norte,Paime,E.S.E. HOSPITAL SAN RAFAEL DE PACHO,Puesto de salud Tudela,Puesto de salud Tudela,PUESTO DE SALUD,Urbana,Departamental,
Norte,Supatá,E.S.E. HOSPITAL SAN RAFAEL DE PACHO,PUESTO DE SALUD DE SUPATA- (257770002806),PUESTO DE SALUD DE SUPATA,PUESTO DE SALUD,Urbana,Departamental,
Norte,Topaipí,E.S.E. HOSPITAL SAN RAFAEL DE PACHO,PUESTO DE SALUD DE TOPAIPI - (258230002807),PUESTO DE SALUD DE TOPAIPI,PUESTO DE SALUD,Urbana,Departamental,
Norte,Villagómez,E.S.E. HOSPITAL SAN RAFAEL DE PACHO,PUESTO DE SALUD DE VILLAGOMEZ - (258710002809),PUESTO DE SALUD DE VILLAGOMEZ,PUESTO DE SALUD,Urbana,Departamental,
Norte,La Palma,E.S.E. HOSPITAL SAN JOSE,E.S.E HOSPITAL SAN JOSE DE LA PALMA - (253940003401),E.S.E HOSPITAL SAN JOSE DE LA PALMA,HOSPITAL PRIMARIO II,Urbana,Departamental,
Norte,Yacopí,E.S.E. HOSPITAL SAN JOSE,CENTRO DE SALUD SAN ANTONIO - (258850003409),CENTRO DE SALUD SAN ANTONIO,HOSPITAL PRIMARIO I,Urbana,Departamental,
Norte,Yacopí,E.S.E. HOSPITAL SAN JOSE,PUESTO DE SALUD DE IBAMA - (258850003419),PUESTO DE SALUD DE IBAMA - (258850003419),PUESTO DE SALUD,Urbana,Departamental,
Norte,Yacopí,E.S.E. HOSPITAL SAN JOSE,PUESTO DE SALUD DE PATE VACA - (258850003410),PUESTO DE SALUD DE PATE VACA - (258850003410),PUESTO DE SALUD,Urbana,Departamental,
Norte,Yacopí,E.S.E. HOSPITAL SAN JOSE,PUESTO DE SALUD GUADUALITO,PUESTO DE SALUD GUADUALITO,PUESTO DE SALUD,Urbana,Departamental,
Norte,Yacopí,E.S.E. HOSPITAL SAN JOSE,PUESTO DE SALUD DE LLANO MATEO - (258850003412),PUESTO DE SALUD DE LLANO MATEO - (258850003412),PUESTO DE SALUD,Urbana,Departamental,
Norte,El Peñón,E.S.E. CAYETANO MARIA DE ROJAS,E.S.E. CAYETANO MARIA DE ROJAS - (252580186001),E.S.E. CAYETANO MARIA DE ROJAS - (252580186001),HOSPITAL PRIMARIO I,Urbana,Municipal,
Norte,El Peñón,E.S.E. CAYETANO MARIA DE ROJAS,SEDE ESE CAYETANO MARIA DE ROJAS,*,CENTRO DE SALUD,Urbana,Municipal,
Norte,El Peñón,E.S.E. CAYETANO MARIA DE ROJAS,PUESTO DE SALUD TALAUTA,*,PUESTO DE SALUD,Urbana,Municipal,
Norte,El Peñón,E.S.E. CAYETANO MARIA DE ROJAS,PUESTO DE SALUD GUAYABAL,*,PUESTO DE SALUD,Urbana,Municipal,
Sabana Centro,Chía,E.S.E. HOSPITAL SAN ANTONIO CHIA,E.S.E. HOSPITAL SAN ANTONIO DE CHIA - (251750002001),E.S.E. HOSPITAL SAN ANTONIO DE CHIA - (251750002001),HOSPITAL PRIMARIO II,Urbana,Departamental,
Sabana Centro,Nemocón,ESE HOSPITAL SAN VICENTE DE PAUL DE NEMOCON,ESE HOSPITAL SAN VICENTE DE PAUL DE NEMOCON,ESE HOSPITAL SAN VICENTE DE PAUL DE NEMOCON,HOSPITAL PRIMARIO I,Urbana,Departamental,
Sabana Centro,Nemocón,ESE HOSPITAL SAN VICENTE DE PAUL DE NEMOCON,PUESTO DE SALUD PATIO BONITO,*,PUESTO DE SALUD,Urbana,Departamental,
Sabana Centro,Tabio,ESE HOSPITAL NUESTRA SEÑORA DEL CARMEN DE TABIO,ESE HOSPITAL NUESTRA SEÑORA DEL CARMEN DE TABIO - (257850006001),ESE HOSPITAL NUESTRA SEÑORA DEL CARMEN DE TABIO,HOSPITAL PRIMARIO I,Urbana,Departamental,
Sabana Centro,Tenjo,E.S.E. HOSPITAL SANTA ROSA DE TENJO,E.S.E. HOSPITAL SANTA ROSA DE TENJO,E.S.E. HOSPITAL SANTA ROSA DE TENJO,HOSPITAL PRIMARIO I,Urbana,Departamental,
Sabana Centro,Sesquilé,ESE HOSPITAL SAN ANTONIO,E.S.E. HOSPITAL SAN ANTONIO,E.S.E. HOSPITAL SAN ANTONIO,HOSPITAL PRIMARIO I,Urbana,Departamental,
Sabana Centro,Gachancipá,ESE HOSPITAL SAN ANTONIO,PUESTO DE SALUD DE GACHANCIPA,PUESTO DE SALUD DE GACHANCIPA,CENTRO DE SALUD,Urbana,Departamental,
Sabana Centro,Sesquilé,ESE HOSPITAL SAN ANTONIO,E.S.E. HOSPITAL SAN ANTONIO,E.S.E. HOSPITAL SAN ANTONIO,HOSPITAL PRIMARIO I,Urbana,Departamental,
Sabana Centro,Gachancipá,ESE HOSPITAL SAN ANTONIO,PUESTO DE SALUD DE GACHANCIPA,PUESTO DE SALUD DE GACHANCIPA,CENTRO DE SALUD,Urbana,Departamental,
Sabana Centro,Zipaquirá,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA,HOSPITAL REGIONAL DE ZIPAQUIRÁ,HOSPITAL REGIONAL ZIPAQUIRÁ,HOSPITAL COMPLEMENTARIO I (REGIONAL),Urbana,Departamental,
Sabana Centro,Zipaquirá,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA UNIDAD FUNCIONAL ZIPAQUIRA,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA UNIDAD FUNCIONAL ZIPAQUIRA,HOSPITAL PRIMARIO I,Urbana,Departamental,
Sabana Centro,Zipaquirá,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA,SEDE UNIDAD FUNCIONAL DE ZIPAQUIRA,*,CENTRO DE SALUD,Urbana,Departamental,
Sabana Centro,Cogua,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA - CENTRO DE SALUD COGUA,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA - CENTRO DE SALUD COGUA,CENTRO DE SALUD,Urbana,Departamental,
Sabana Centro,San Cayetano,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA - PUESTO DE SALUD SAN CAYETANO,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA - PUESTO DE SALUD SAN CAYETANO,PUESTO DE SALUD,Urbana,Departamental,
Sabana Centro,Cota,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA,CENTRO DE SALUD DE COTA MARTHA LILIANA GONZÁLEZ GIL - (252140002002),ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA - CENTRO DE SALUD DE COTA MARTHA LILIANA GONZÁLEZ GIL (252140002002) ***,CENTRO DE SALUD,Urbana,Departamental,"Mediante Decreto 130 del 14 abril de 2026, la ESE Hospital Universitario de la Samaritana asumirá la prestación de los servicios del Centro de Salud de Cota Martha Liliana González Gil."
Sabana Centro,Cajicá,ESE HOSPITAL PROFESOR JORGE CAVELIER -I- NIVEL DE ATENCION CAJICA,ESE HOSPITAL PROFESOR JORGE CAVELIER -I- NIVEL DE ATENCION CAJICA,ESE HOSPITAL PROFESOR JORGE CAVELIER -I- NIVEL DE ATENCION CAJICA,HOSPITAL PRIMARIO II,Urbana,Municipal,
Sabana Centro Occidente,Facatativá,E.S.E HOSPITAL SAN RAFAEL DE FACATATIVÁ,E.S.E. HOSPITAL SAN RAFAEL DE FACATATIVA,E.S.E. HOSPITAL SAN RAFAEL DE FACATATIVA,HOSPITAL COMPLEMENTARIO I (REGIONAL),Urbana,Departamental,
Sabana Centro Occidente,Facatativá,E.S.E HOSPITAL SAN RAFAEL DE FACATATIVÁ,SEDE UNIDAD DE SALUD MENTAL,*,UNIDAD DE SALUD MENTAL,Urbana,Departamental,
Sabana Centro Occidente,Facatativá,E.S.E HOSPITAL SAN RAFAEL DE FACATATIVÁ,CENTRO DE SALUD COPIHUE,CENTRO DE SALUD COPIHUE,CENTRO DE SALUD,Urbana,Departamental,
Sabana Centro Occidente,Facatativá,E.S.E HOSPITAL SAN RAFAEL DE FACATATIVÁ,CENTRO DE SALUD DE CARTAGENITA-MANABLANCA,CENTRO DE SALUD DE CARTAGENITA-MANABLANCA,CENTRO DE SALUD,Urbana,Departamental,
Sabana Centro Occidente,Albán,E.S.E HOSPITAL SAN RAFAEL DE FACATATIVÁ,PUESTO DE SALUD DE ALBAN,PUESTO DE SALUD DE ALBAN,PUESTO DE SALUD,Urbana,Departamental,
Sabana Centro Occidente,Guayabal De Siquima,E.S.E HOSPITAL SAN RAFAEL DE FACATATIVÁ,PUESTO DE SALUD DE GUAYABAL DE SÍQUIMA,PUESTO DE SALUD DE GUAYABAL DE SÍQUIMA,CENTRO DE SALUD,Urbana,Departamental,
Sabana Centro Occidente,Subachoque,E.S.E HOSPITAL SAN RAFAEL DE FACATATIVÁ,PUESTO DE SALUD LA PRADERA,PUESTO DE SALUD LA PRADERA,PUESTO DE SALUD,Rural,Departamental,
Sabana Centro Occidente,Subachoque,E.S.E HOSPITAL SAN RAFAEL DE FACATATIVÁ,CENTRO DE SALUD SUBACHOQUE,CENTRO DE SALUD SUBACHOQUE,CENTRO DE SALUD,Urbana,Departamental,
Sabana Centro Occidente,San Juan De Río Seco,E.S.E. HOSPITAL SAN VICENTE DE PAUL,E.S.E. HOSPITAL SAN VICENTE DE PAUL,E.S.E. HOSPITAL SAN VICENTE DE PAUL,HOSPITAL PRIMARIO I,Urbana,Departamental,
