Región Salud PTRRMR,Municipio,NOMBRE DEL PRESTADOR - ESE REPS,NOMBRE DE LA SEDE - REPS,NOMBRE DE LA SEDE EN EL PTRRMR,TIPOLOGÍA LINEAMIENTO CIR. 041,Tipo_zona,Caracter,Observaciones
Sur,Fusagasugá,E.S.E. HOSPITAL SAN RAFAEL DE FUSAGASUGA,PUESTO DE SALUD LA TRINIDAD - (252900003612),PUESTO DE SALUD LA TRINIDAD - (252900003612),PUESTO DE SALUD,Rural,Departamental,
Sur,Fusagasugá,E.S.E. HOSPITAL SAN RAFAEL DE FUSAGASUGA,PUESTO DE SALUD LA VENTA - (252900003603),PUESTO DE SALUD LA VENTA - (252900003603),PUESTO DE SALUD,Urbana,Departamental,
Sur,Fusagasugá,E.S.E. HOSPITAL SAN RAFAEL DE FUSAGASUGA,PUESTO DE SALUD NOVILLERO - (252900003608),PUESTO DE SALUD NOVILLERO - (252900003608),PUESTO DE SALUD,Rural,Departamental,
Sur,Fusagasugá,E.S.E. HOSPITAL SAN RAFAEL DE FUSAGASUGA,PUESTO DE SALUD OBRERO - (252900003613),PUESTO DE SALUD OBRERO - (252900003613),PUESTO DE SALUD,Urbana,Departamental,
Sur,Pasca,E.S.E. HOSPITAL SAN RAFAEL DE FUSAGASUGA,PUESTO DE SALUD DE PASCA - (255350003611),PUESTO DE SALUD DE PASCA,PUESTO DE SALUD,Urbana,Departamental,
Sur,Tibacuy,E.S.E. HOSPITAL SAN RAFAEL DE FUSAGASUGA,PUESTO DE SALUD DE BATEAS,*,PUESTO DE SALUD,Urbana,Departamental,
Sur,Tibacuy,E.S.E. HOSPITAL SAN RAFAEL DE FUSAGASUGA,PUESTO DE SALUD CUMACA - (258050003607),PUESTO DE SALUD CUMACA,PUESTO DE SALUD,Urbana,Departamental,
Sur,Tibacuy,E.S.E. HOSPITAL SAN RAFAEL DE FUSAGASUGA,PUESTO DE SALUD TIBACUY - (258050003605),PUESTO DE SALUD TIBACUY,PUESTO DE SALUD,Urbana,Departamental,
Sur,Arbeláez,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,HOSPITAL PRIMARIO I,Urbana,Departamental,
Sur,Arbeláez,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,SEDE UNIDAD DE TERAPIAS SAN ANTONIO,SEDE UNIDAD DE TERAPIAS SAN ANTONIO,CENTRO DE SALUD,Urbana,Departamental,
Sur,Cabrera,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,CENTRO DE SALUD CABRERA,CENTRO DE SALUD CABRERA,CENTRO DE SALUD,Urbana,Departamental,
Sur,Pandi,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,CENTRO DE SALUD PANDI,CENTRO DE SALUD PANDI,CENTRO DE SALUD,Urbana,Departamental,
Sur,San Bernardo,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,CENTRO DE SALUD DE SAN BERNARDO,CENTRO DE SALUD DE SAN BERNARDO,CENTRO DE SALUD,Urbana,Departamental,
Sur,Venecia,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,CENTRO DE SALUD VENECIA,CENTRO DE SALUD VENECIA,CENTRO DE SALUD,Urbana,Departamental,
Sur,Silvania,HOSPITAL ISMAEL SILVA E.S.E.,HOSPITAL ISMAEL SILVA E.S.E. - (257430038101),HOSPITAL ISMAEL SILVA E.S.E.,HOSPITAL PRIMARIO I,Urbana,Municipal,
Sur,Silvania,HOSPITAL ISMAEL SILVA E.S.E.,HOSPITAL ISMAEL SILVA ESE SEDE AGUABONITA - (257430038103),HOSPITAL ISMAEL SILVA ESE SEDE AGUABONITA,PUESTO DE SALUD,Urbana,Municipal,
Sur,Silvania,HOSPITAL ISMAEL SILVA E.S.E.,HOSPITAL ISMAEL SILVA ESE SEDE SUBIA - (257430038102),HOSPITAL ISMAEL SILVA ESE SEDE SUBIA,PUESTO DE SALUD,Urbana,Municipal,
Suroccidente,Girardot,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA,HOSPITAL SAN RAFAEL DE GIRARDOT - HUS,HOSPITAL SAN RAFAEL DE GIRARDOT - HUS,HOSPITAL COMPLEMENTARIO I (REGIONAL),Urbana,Departamental,
Suroccidente,Girardot,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA - CENTRO DE SALUD KENNEDY,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA - CENTRO DE SALUD KENNEDY,CENTRO DE SALUD,Urbana,Departamental,
Suroccidente,Girardot,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA,CENTRO DE ATENCIÓN PRIMARIA SAN RAFAEL DE GIRARDOT,CENTRO DE ATENCIÓN PRIMARIA SAN RAFAEL DE GIRARDOT,CENTRO DE SALUD,Urbana,Departamental,
Suroccidente,Girardot,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA - CENTRO DE SALUD BUENOS AIRES,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA - CENTRO DE SALUD BUENOS AIRES,CENTRO DE SALUD,Urbana,Departamental,"En proceso de entrega para la operación e inscripción en el REPS por parte de la ESE Hospital Universitario de la Samaritana, en cumplimiento del alcance N°2 al PTRRMR del 18 de febrero de 2026 y el Decreto departamental N°130 del 14 abril de 2026."
Suroccidente,Girardot,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA,PUESTO DE SALUD BARZALOSA,*,PUESTO DE SALUD,Urbana,Departamental,"En proceso de entrega para la operación e inscripción en el REPS por parte de la ESE Hospital Universitario de la Samaritana, en cumplimiento del alcance N°2 al PTRRMR del 18 de febrero de 2026 y el Decreto departamental N°130 del 14 abril de 2026."
Suroccidente,Girardot,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA -PUESTO DE SALUD DE MIRAFLORES,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA - PUESTO DE SALUD DE MIRAFLORES,PUESTO DE SALUD,Urbana,Departamental,"En proceso de entrega para la operación e inscripción en el REPS por parte de la ESE Hospital Universitario de la Samaritana, en cumplimiento del alcance N°2 al PTRRMR del 18 de febrero de 2026 y el Decreto departamental N°130 del 14 abril de 2026."
Suroccidente,Girardot,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA,PUESTO DE SALUD DIEZ DE MAYO,*,PUESTO DE SALUD,Urbana,Departamental,"En proceso de entrega para la operación e inscripción en el REPS por parte de la ESE Hospital Universitario de la Samaritana, en cumplimiento del alcance N°2 al PTRRMR del 18 de febrero de 2026 y el Decreto departamental N°130 del 14 abril de 2026."
Suroccidente,Guataquí,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA,PUESTO DE SALUD DE GUATAQUI,PUESTO DE SALUD DE GUATAQUI,PUESTO DE SALUD,Urbana,Departamental,
Suroccidente,Nariño,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA,PUESTO DE SALUD NARIÑO,PUESTO DE SALUD NARIÑO,PUESTO DE SALUD,Urbana,Departamental,
Suroccidente,Nilo,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA,PUESTO DE SALUD NILO,PUESTO DE SALUD NILO,CENTRO DE SALUD,Urbana,Departamental,
Suroccidente,Nilo,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA,CENTRO DE SALUD PUEBLO NUEVO,CENTRO DE SALUD PUEBLO NUEVO,PUESTO DE SALUD,Urbana,Departamental,"En proceso de entrega para la operación e inscripción en el REPS por parte de la ESE Hospital Universitario de la Samaritana, en cumplimiento del alcance N°2 al PTRRMR del 18 de febrero de 2026 y el Decreto departamental N°130 del 14 abril de 2026."
Suroccidente,Tocaima,E.S.E. HOSPITAL MARCO FELIPE AFANADOR DE TOCAIMA,E.S.E. HOSPITAL MARCO FELIPE AFANADOR DE TOCAIMA - (258150002701),E.S.E. HOSPITAL MARCO FELIPE AFANADOR DE TOCAIMA,HOSPITAL PRIMARIO II,Urbana,Departamental,
Suroccidente,Agua De Dios,E.S.E. HOSPITAL MARCO FELIPE AFANADOR DE TOCAIMA,CENTRO DE SALUD JOHAN DE AGUA DE DIOS - (250010002702),CENTRO DE SALUD JOHAN DE AGUA DE DIOS - (250010002702),CENTRO DE SALUD,Urbana,Departamental,
Suroccidente,Jerusalén,E.S.E. HOSPITAL MARCO FELIPE AFANADOR DE TOCAIMA,PUESTO DE SALUD JERUSALEN - (253680002704),PUESTO DE SALUD JERUSALEN - (253680002704),PUESTO DE SALUD,Urbana,Departamental,
Suroccidente,Apulo,E.S.E. HOSPITAL MARCO FELIPE AFANADOR DE TOCAIMA,CENTRO DE SALUD RAFAEL REYES DE APULO - (255990002703),CENTRO DE SALUD RAFAEL REYES DE APULO - (255990002703),CENTRO DE SALUD,Urbana,Departamental,
Suroccidente,Viotá,E.S.E. HOSPITAL SAN FRANCISCO DE VIOTA,E.S.E. HOSPITAL SAN FRANCISCO DE VIOTA,E.S.E. HOSPITAL SAN FRANCISCO DE VIOTA,HOSPITAL PRIMARIO I,Urbana,Departamental,
Suroccidente,Viotá,E.S.E. HOSPITAL SAN FRANCISCO DE VIOTA,PUESTO DE SALUD LIBERIA,PUESTO DE SALUD LIBERIA,PUESTO DE SALUD,Urbana,Departamental,
Suroccidente,Viotá,E.S.E. HOSPITAL SAN FRANCISCO DE VIOTA,PUESTO DE SALUD SAN GABRIEL,PUESTO DE SALUD SAN GABRIEL,PUESTO DE SALUD,Urbana,Departamental,
Suroccidente,Ricaurte,E.S.E. CENTRO DE SALUD DE RICAURTE,E.S.E. CENTRO DE SALUD DE RICAURTE - (256120183201),E.S.E. CENTRO DE SALUD DE RICAURTE,HOSPITAL PRIMARIO I,Urbana,Municipal,
Suroccidente,Agua De Dios,SANATORIO DE AGUA DE DIOS E.S.E.,SANATORIO DE AGUA DE DIOS E.S.E. - (250010009401),SANATORIO DE AGUA DE DIOS E.S.E. - (250010009401),HOSPITAL PRIMARIO I,Urbana,Nacional,
Suroriente,Cáqueza,E.S.E. HOSPITAL SAN RAFAEL DE CAQUEZA,E.S.E. HOSPITAL SAN RAFAEL DE CAQUEZA,E.S.E. HOSPITAL SAN RAFAEL DE CAQUEZA,HOSPITAL COMPLEMENTARIO I (REGIONAL),Urbana,Departamental,
Suroriente,Chipaque,E.S.E. HOSPITAL SAN RAFAEL DE CAQUEZA,CENTRO DE SALUD DE CHIPAQUE - (251780001602),CENTRO DE SALUD DE CHIPAQUE - (251780001602),CENTRO DE SALUD,Urbana,Departamental,
Suroriente,Guayabetal,E.S.E. HOSPITAL SAN RAFAEL DE CAQUEZA,CENTRO DE SALUD DE GUAYABETAL,CENTRO DE SALUD DE GUAYABETAL,CENTRO DE SALUD,Urbana,Departamental,
Suroriente,Gutiérrez,E.S.E. HOSPITAL SAN RAFAEL DE CAQUEZA,CENTRO DE SALUD DE GUTIERREZ - (253390001605),CENTRO DE SALUD DE GUTIERREZ - (253390001605),CENTRO DE SALUD,Urbana,Departamental,
Suroriente,Quetame,E.S.E. HOSPITAL SAN RAFAEL DE CAQUEZA,CENTRO DE SALUD DE QUETAME,CENTRO DE SALUD DE QUETAME,CENTRO DE SALUD,Urbana,Departamental,
Suroriente,Quetame,E.S.E. HOSPITAL SAN RAFAEL DE CAQUEZA,CENTRO DE SALUD DE QUETAME,CENTRO DE SALUD DE QUETAME,CENTRO DE SALUD,Urbana,Departamental,
Suroriente,Quetame,E.S.E. HOSPITAL SAN RAFAEL DE CAQUEZA,PUESTO DE SALUD PUENTE QUETAME,PUESTO DE SALUD PUENTE QUETAME,PUESTO DE SALUD,Urbana,Departamental,
Suroriente,Fomeque,E.S.E. HOSPITAL SAN VICENTE DE PAUL DE FOMEQUE,E.S.E. HOSPITAL SAN VICENTE DE PAUL FOMEQUE,E.S.E. HOSPITAL SAN VICENTE DE PAUL FOMEQUE,HOSPITAL PRIMARIO II,Urbana,Departamental,
Suroriente,Choachí,E.S.E. HOSPITAL SAN VICENTE DE PAUL DE FOMEQUE,CENTRO DE SALUD DE CHOACHI,CENTRO DE SALUD DE CHOACHI,CENTRO DE SALUD,Urbana,Departamental,
Suroriente,Fomeque,E.S.E. HOSPITAL SAN VICENTE DE PAUL DE FOMEQUE,PUESTO DE SALUD LA UNION,*,PUESTO DE SALUD,Urbana,Departamental,
Suroriente,Ubaque,E.S.E. HOSPITAL SAN VICENTE DE PAUL DE FOMEQUE,CENTRO DE SALUD UBAQUE,CENTRO DE SALUD UBAQUE,CENTRO DE SALUD,Urbana,Departamental,
Suroriente,Ubaque,E.S.E. HOSPITAL SAN VICENTE DE PAUL DE FOMEQUE,PUESTO DE SALUD PUEBLO VIEJO,,PUESTO DE SALUD,Urbana,Departamental,
Suroriente,Une,E.S.E. CENTRO DE SALUD TIMOTEO RIVEROS CUBILLOS,E.S.E. CENTRO DE SALUD TIMOTEO RIVEROS CUBILLOS - (258450189601),E.S.E. CENTRO DE SALUD TIMOTEO RIVEROS CUBILLOS,HOSPITAL PRIMARIO I,Urbana,Municipal,
Suroriente,Fosca,CENTRO DE SALUD DE FOSCA E.S.E.,CENTRO DE SALUD DE FOSCA E.S.E - (252810021201),CENTRO DE SALUD DE FOSCA E.S.E - (252810021201),CENTRO DE SALUD,Urbana,Municipal,
Suroriente,Fosca,CENTRO DE SALUD DE FOSCA E.S.E.,PUESTO DE SALUD DE SANAME,PUESTO DE SALUD DE SANAME,PUESTO DE SALUD,Rural,Municipal,
Notas Aclaratorias (*) No estan en el REPS (21) (**) Pendiente asignación nombre para REPS (1) (***) Nombre asignado por Decreto 130 de 2026 (1),,,,,,,,
